location_city,count
Cleveland,13233
Chicago,283
Philadelphia,268
Pittsburgh,229
Cincinnati,221
Louisville,174
Detroit,165
Dayton,161
Lexington,154
Indianapolis,154
Columbus,139
Milwaukee,138
Springfield,135
Fort Wayne,117
Madison,111
Peoria,107
Toledo,105
Akron,102
Evansville,96
Erie,91
Lansing,87
Harrisburg,74
Grand Rapids,73
Canton,70
South Bend,50
Flint,45
Wilkes Barre,40
Kalamazoo,35
Youngstown,35
Warren,33
Rockford,33
Scranton,29
Reading,28
Lancaster,26
Green Bay,26
Bloomington,25
Terre Haute,25
Carol Stream,22
Gary,22
Farmington,20
Southfield,19
Anderson,18
Saginaw,18
Allentown,17
Aurora,17
Mansfield,17
Levittown,17
Palatine,16
Schaumburg,16
Racine,16
New Castle,16
Bethlehem,15
East Saint Louis,15
Lima,15
Muskegon,15
Ann Arbor,15
Appleton,15
Muncie,14
Champaign,13
Lafayette,13
Dearborn,12
Valley Forge,12
Midland,12
Crawfordsville,12
Joliet,12
Battle Creek,12
Hamilton,12
York,11
London,11
Naperville,11
Evanston,11
Troy,10
Mc Keesport,10
Decatur,10
Jeffersonville,9
Johnstown,9
Frankfort,8
